"duration_in_seconds","response_id","intn","intn_nb","meat_belief","pol","gender","age","norm","framing"
179,"R_AbYdFQvCZbgAvSN",4,9,14,2,"male",20,"stat","pos"
290,"R_6X9o8w6R9PRNEMp",1,7,40,4,"female",19,"dyn","neg"
303,"R_1IxQ5f82lhynY6K",2,10,38,4,"female",20,"stat","neg"
313,"R_ZI5zVhhXd3SKGmR",4,7,25,3,"female",19,"dyn","neg"
1110,"R_1LBvQut70BPQfSo",2,7,NA,1,"male",20,"stat","pos"
1584,"R_2zTvbBrEeuf8unA",4,5,30,3,"female",19,"dyn","pos"
211,"R_31AzZ0tQDlReEbr",3,4,7,NA,"female",20,"dyn","pos"
642,"R_28AqI55TDdAM1Na",6,15,25,4,"female",45,"stat","neg"
218,"R_2b1y636E8KqsLFK",6,14,40,2,"female",19,"dyn","neg"
435,"R_2WOwXp7jLCltJLZ",4,3,30,3,"female",30,"stat","pos"
135,"R_2AEiUrnlYTqeU1s",3,15,40,3,"female",19,"dyn","pos"
364,"R_1EibkrV1nXglXWA",4,7,30,4,"female",28,"stat","neg"
216,"R_2tywyTaLxH3PZws",1,NA,40,3,"female",19,"dyn","neg"
327,"R_1BRUpiqB47zGBJw",4,5,20,3,"female",34,"stat","pos"
164,"R_1jk4bOudRqcCsQr",5,5,60,2,"female",20,"stat","pos"
361,"R_dcXPuV6yrmwab2F",4,5,20,3,"female",34,"stat","neg"
276,"R_2Xin0O30EKHQnxT",6,18,20,1,"female",33,"dyn","neg"
213,"R_32L3aQxzkBXcdnZ",2,5,60,4,"female",57,"dyn","pos"
292,"R_vlzvJEbvTYpGpBD",5,14,55,3,"female",32,"stat","pos"
707,"R_31EfWqbwUiKhAim",5,16,30,4,"female",52,"dyn","pos"
275,"R_29hbdflmxhhDrMe",1,7,30,1,"female",23,"stat","neg"
181,"R_1r8k5jq2UMBQwZR",7,19,30,2,"male",32,"stat","pos"
664,"R_2QMdpfZjOKgDEmL",4,10,20,4,"female",40,"dyn","neg"
200,"R_2y3DZwHY2bfTpRB",2,NA,30,3,"female",20,"dyn","pos"
110,"R_25Rbk5iTpHDVXA3",2,6,25,4,"male",20,"dyn","pos"
530,"R_27C2nAbdkf6Ub5l",7,5,30,1,"female",20,"stat","neg"
504,"R_3RxwzBYtB5bAhjx",3,16,12,3,"female",19,"dyn","neg"
66,"R_1GvrC53mbwN81iX",7,15,10,4,"female",32,"dyn","pos"
334,"R_2AMrBZo0mYsMbCE",7,3,5,4,"male",35,"dyn","neg"
94,"R_1LBTwNp4YoKOIQ6",1,15,15,2,"female",18,"stat","pos"
97,"R_3sskK9UuWl9d5bH",4,2,15,4,"female",19,"dyn","pos"
69,"R_3NUPd5z3gsnNBpc",3,14,50,3,"female",22,"stat","pos"
461,"R_1gpgNbpj5Ow1HDx",4,13,20,3,"female",18,"stat","neg"
829,"R_2RVviBruRK1Ao2N",4,7,50,6,"female",38,"dyn","neg"
120,"R_vUeLo6MDiZQrq5r",5,4,35,4,"female",22,"stat","pos"
174,"R_eFm9P1sZSgEIpRD",4,14,10,4,"male",19,"stat","pos"
370,"R_2fDTaugOQmhgCHn",5,10,30,4,"female",18,"dyn","pos"
415,"R_31gFAZdA4jtXugX",1,14,30,1,"female",19,"dyn","neg"
1638,"R_1eFtLOnSxFhFS3A",6,15,10,2,"female",26,"dyn","neg"
213,"R_2qDW9dcgyUAFiJh",5,15,30,5,"male",31,"stat","pos"
203,"R_1ifd43rPHiPtFPm",5,18,60,3,"female",38,"dyn","pos"
74,"R_3nxgWSM8gHlIz5H",5,18,60,3,"female",38,"stat","pos"
305,"R_2VPDDiWBaLrnRvM",4,14,40,2,"female",60,"dyn","pos"
231,"R_1Ky8BBSy7f3omhi",2,10,20,4,"female",20,"dyn","neg"
596,"R_xgTbFbYlvdwT6et",5,15,10,1,"female",20,"stat","pos"
416,"R_2coKJYbyNtuusCV",5,7,20,2,"female",48,"stat","neg"
119,"R_3EFgQJmfGwMNCqW",6,18,60,3,"female",38,"dyn","pos"
181,"R_3iV9GDm86nmihln",6,18,60,3,"female",38,"dyn","pos"
613,"R_yDZKiqNTauxD2yB",3,17,30,6,"male",42,"stat","neg"
332,"R_25uXSQGgxrroSyC",2,15,30,2,"female",20,"dyn","neg"
360,"R_3PZjrcyFNR8QmIH",1,NA,NA,4,"male",19,"stat","neg"
683,"R_tPoxkkLkxALEQSJ",4,10,30,2,"female",20,"stat","neg"
197,"R_1Kj6ErZDs4NpoU3",3,7,40,5,"female",19,"stat","neg"
201,"R_1Ed2ihZLwkDiLEF",4,14,20,5,"female",33,"dyn","pos"
1372,"R_2eR4rR8C31G0WAy",5,13,15,1,"female",20,"dyn","neg"
164,"R_27JzdXfjArb675N",5,14,10,1,"female",20,"dyn","neg"
1544,"R_agaoW71UpQr7LmV",1,10,70,4,"female",19,"dyn","pos"
384,"R_3MaReyFcPN1muoB",2,11,60,4,"female",19,"stat","neg"
2611,"R_A6GcxKJc3zwYtmV",2,2,10,6,"female",29,"stat","pos"
183,"R_2e9etDDr25y3IRA",5,13,30,3,"female",20,"dyn","neg"
861,"R_0AIS2iDuZhL1vwZ",4,16,30,5,"female",50,"dyn","neg"
207,"R_1riC1RT03byvgH9",5,16,30,4,"male",29,"stat","neg"
62,"R_3Dw02EpuNKEy6hu",1,3,20,3,"female",20,"stat","pos"
631,"R_1f1Q2EKgoaYGQWU",5,7,45,2,"female",19,"dyn","neg"
430,"R_21ntckSdekn1Wvr",1,9,40,4,"female",19,"stat","neg"
203,"R_064jwDa7QuaWFX3",7,7,65,1,"non_binary",19,"dyn","neg"
1704,"R_2aH1VYJcBydUFnX",3,14,25,3,"female",20,"dyn","neg"
88,"R_XNwEospFajjSTzb",1,NA,60,4,"female",21,"stat","pos"
1786,"R_2U9lZ3W2mhaPggv",1,2,5,6,"female",49,"stat","neg"
66,"R_24tRlICTiFuOaS1",7,14,30,1,"female",21,"dyn","pos"
8528,"R_XH3NNTgbXww19lf",4,15,30,1,"female",18,"dyn","neg"
290,"R_2bJCAgr2jh4W1BN",1,5,45,4,"male",18,"stat","pos"
191,"R_33Efq84ofy7NQlv",4,15,30,2,NA,18,"dyn","pos"
294,"R_24GXTZ1mXb9U328",3,17,29,6,"male",20,"dyn","pos"
156,"R_3HnpLIQNnPc3H8f",4,3,5,3,"male",20,"stat","pos"
177,"R_1gCnpbSX88D3LF4",1,10,50,4,"female",20,"stat","neg"
6588,"R_V3ZhXpIQCEhP3XP",4,14,60,3,"male",55,"dyn","neg"
339,"R_T0o2eTtm3DpXG5b",6,16,30,2,"female",20,"dyn","neg"
346,"R_10YqjtV8Y3l2tcg",6,14,30,5,"male",36,"stat","pos"
285,"R_2bHJ6JFCR5oiOqQ",1,16,30,2,"male",22,"dyn","neg"
87,"R_eh9sXKTJn3jOhnH",5,17,50,2,"female",20,"stat","pos"
223,"R_2YFLh8o2GgBSEoD",2,5,40,6,"male",24,"stat","pos"
426,"R_1BQxKdlNeAmAGHU",1,10,40,5,"male",27,"stat","neg"
219,"R_2BsTjMQIhAY08QJ",1,11,30,5,"male",23,"stat","neg"
492,"R_1LH89kRYCbGSblL",4,14,50,4,"female",50,"stat","neg"
375,"R_25LbaVm26Bbuwbe",1,16,30,5,"male",19,"dyn","neg"
364,"R_1pFGBwf8USetViC",2,10,45,6,"male",57,"dyn","pos"
214,"R_3gLfJsfsRUHek0x",3,10,45,6,"male",57,"stat","pos"
382,"R_2VywxeTdGaga8aL",5,7,18,4,"female",20,"stat","pos"
475,"R_2DZh1Y9ukHGWHcm",5,10,45,2,"female",19,"dyn","pos"
392,"R_1FyYfpboJNxqm8o",1,16,30,3,"female",19,"dyn","pos"
453,"R_3Op4UQAy02MoEq5",1,7,30,4,"female",22,"stat","neg"
769,"R_33rI6Ysvitj7O5U",3,5,35,4,"female",19,"stat","neg"
25970,"R_1N4AHizImuMCMG1",1,6,30,2,"male",20,"stat","pos"
18441,"R_2CexxntGMIzlfXF",2,12,35,4,"female",20,"dyn","neg"
275,"R_1dnTF6qLcI372T2",4,17,60,2,"female",22,"dyn","pos"
114,"R_1GBRPnWnNNw4m8g",2,10,30,3,"male",64,"dyn","pos"
470,"R_OwDvRfHACoRUQzD",6,17,30,4,NA,30,"dyn","neg"
200,"R_3mdHWC7IumdBrWh",1,7,70,4,"female",21,"dyn","neg"
157,"R_uwi1OwfJlbIvYyJ",4,12,60,3,"female",34,"stat","pos"
724,"R_zVbBLonNuJYp9sZ",2,14,20,4,"male",30,"stat","neg"
170,"R_OJYAWyY8pID6ocV",3,17,60,2,"male",18,"dyn","pos"
430,"R_33jMxxRxDkiAhxo",5,10,30,2,"female",20,"dyn","neg"
264,"R_33pNgOXstMF6GVl",6,10,30,4,"female",19,"stat","pos"
19220,"R_1NsssvsIhEZ42ll",6,3,30,5,"female",20,"dyn","pos"
3149,"R_1qU7hjyftz8Slcq",2,8,60,3,"female",19,"dyn","pos"
925,"R_PIh91LCq6sqjVU5",1,7,15,4,"male",20,"stat","neg"
317,"R_3hGc1M6oTRi2zFC",4,15,30,3,"female",20,"stat","neg"
437,"R_3hEdKHuzzSgeSzA",4,10,30,3,"female",29,"dyn","neg"
198,"R_2b2lFOPamhKYWff",6,5,40,4,"female",36,"stat","pos"
59,"R_3Pt2DwySYkePwVK",6,5,40,4,"female",36,"dyn","pos"
341,"R_3HXj0Q634POQw7n",6,7,20,2,"female",19,"dyn","neg"
194,"R_2CjoUY2qZYQeXc1",2,4,20,2,"female",37,"stat","pos"
223,"R_1ooozA20lTmL5vQ",4,15,50,2,"female",19,"stat","neg"
45636,"R_33xwKeSKKlTfUW4",5,18,10,2,"female",18,"dyn","pos"
446,"R_2EcPFMxh5I9YIrq",5,19,10,2,"female",18,"stat","neg"
49,"R_2a9wkvbMzy1aS8H",5,19,10,2,"female",18,"dyn","pos"
153,"R_1DHXZdTkc71qRoL",6,16,40,1,"female",20,"stat","pos"
211,"R_tMMrNIURNS34GIx",6,2,30,1,"male",21,"stat","pos"
487,"R_9KoVyRZlIr7P0zf",4,9,30,2,"non_binary",18,"stat","neg"
62541,"R_78JRZY7lSvo5mff",7,10,20,3,"female",19,"dyn","neg"
1160,"R_vxeHvQ79J1utleN",4,7,20,5,"male",47,"dyn","neg"
631,"R_2BzGQzj4B1C9rUw",1,7,20,2,"male",19,"stat","neg"
57,"R_1gzGi5yxjO60r6Z",1,7,20,2,"male",19,"stat","pos"
462,"R_qDw9hbtGK1dkrTP",1,18,30,3,"prefer_not_to_say",19,"dyn","neg"
4519,"R_wYqpiWbIZ2jmQlr",4,4,15,2,"male",54,"dyn","pos"
121,"R_333XqQyLK3RUGig",4,7,30,2,"female",19,"dyn","pos"
240,"R_pi6tFVKIYZfy2Kl",5,13,30,5,"female",18,"stat","neg"
183,"R_3HS3e0a4VJ4R6qb",3,12,55,4,"female",19,"dyn","pos"
111,"R_b2inHDseVTMZ7kl",2,7,30,4,"male",20,"dyn","pos"
934,"R_tQ9npmn7DA9L929",2,4,45,4,"male",22,"dyn","neg"
164,"R_2uTWJHOri5ESX0f",4,3,10,1,"female",20,"stat","pos"
125,"R_30i5q9s1HyIctik",1,30,30,2,"female",20,"stat","pos"
235,"R_28P8riJBuvoX2g7",5,5,30,4,"male",19,"dyn","pos"
265,"R_1i2T5JxvlMYC9EM",1,11,40,5,"male",22,"stat","neg"
420,"R_SV7YzYbqxjcWnGF",2,15,40,5,"male",20,"dyn","neg"
298,"R_88kPKpUzOXrraZr",1,28,30,2,"female",20,"stat","neg"
241,"R_3JhjSnQEcNhFlW2",3,16,20,3,"male",20,"stat","pos"
834,"R_2dz4TmgFxoFz69g",5,14,15,2,"female",19,"dyn","neg"
103,"R_1rvl1GmbgRI2m8O",4,7,35,4,"female",19,"stat","pos"
339,"R_2QmOfRj8vMfMpjm",5,14,30,2,"prefer_not_to_say",18,"dyn","neg"
300,"R_t0wk600oGqNNiXD",2,18,50,5,"male",19,"dyn","pos"
47,"R_1qVPHR7INAS6t2h",2,18,30,5,"male",19,"dyn","pos"
136,"R_XRoIWA9qsJEziH7",5,15,45,2,"female",19,"stat","pos"
555,"R_Ajmo2ROJD4cvDKV",5,15,30,4,"female",19,"stat","neg"
204,"R_3dFEneeQrkie0Wu",3,5,25,2,"female",19,"dyn","pos"
928,"R_2t2IbcJxLbD8NMd",4,3,30,2,"female",19,"stat","neg"
172,"R_dd0QkZu8L4AsbYJ",1,2,30,4,"female",21,"stat","pos"
126,"R_27TJVg6aSwXHROp",4,7,20,2,"male",20,"dyn","pos"
169,"R_Q6Zi8s2kkTWzGxP",1,10,30,4,"male",21,"stat","pos"
255,"R_3FPDDRVUEejNU4N",1,9,30,3,"male",21,"stat","neg"
382,"R_1CDe6fDkv8WlZN4",1,10,30,4,"male",21,"dyn","neg"
589,"R_2aKX78SRCTWtzUT",4,17,15,4,"female",19,"dyn","neg"
199,"R_1ik74L1L2vHfr0k",2,10,15,2,"female",21,"stat","pos"
8924,"R_30dirlIElLXAPPK",3,4,20,2,"male",23,"dyn","neg"
64,"R_1gvasT7UvGt2tS8",4,1,10,5,"non_binary",26,"dyn","pos"
61,"R_2zuvErjVUFEaRoo",4,5,20,2,"male",20,"stat","pos"
414,"R_3HLWqHsznraAHvx",5,3,30,4,"male",54,"stat","neg"
274,"R_ysyoiTdkiydzCgh",2,16,18,3,"male",20,"dyn","pos"
186,"R_3GpvcUXMhvEu6l5",4,10,60,4,"female",20,"dyn","pos"
987,"R_3sAq4chNucK53gU",5,12,10,4,"male",35,"stat","neg"
2551,"R_1rBOzkzi3GpxIT0",4,7,25,2,"female",19,"stat","neg"
314,"R_3qPAo6qad0c1oIH",5,10,35,4,"male",21,"dyn","pos"
240,"R_2wz3ElH3qBHbv9j",2,10,30,4,"female",21,"dyn","neg"
305,"R_6X4ITu4NydNYSpb",4,18,35,4,"female",20,"stat","neg"
101,"R_0q4eC2iFSZphdER",1,15,30,5,"female",23,"stat","pos"
351,"R_rjpH66lTk5qfy81",5,11,30,2,"female",30,"stat","neg"
681,"R_3gTLM0gwUzJiedL",3,9,30,4,"male",54,"stat","neg"
386,"R_POgOZSUbC0EWPgB",5,3,30,3,"male",44,"dyn","pos"
385,"R_2Tnu30aVWtvrpoA",7,14,20,4,"female",56,"stat","neg"
206,"R_295tF2F3ubqZXmn",1,7,10,6,"male",20,"stat","pos"
172,"R_29geVlz6IDoSELN",1,10,50,6,"male",18,"stat","pos"
52,"R_2q2ZIGB0diSFjpR",5,14,10,2,"female",20,"stat","pos"
207,"R_Wur9roVJyQuNE09",4,17,35,2,"female",49,"dyn","pos"
363,"R_1jNwHimqyrka47U",6,14,50,4,"female",78,"dyn","pos"
95,"R_2TZEigp2O0W2ARo",4,16,30,4,"female",44,"stat","pos"
850,"R_BJSTt3m5yhC0Ra1",5,8,30,3,"female",20,"stat","neg"
84,"R_1P2k2MiZkNPZXF4",4,7,1,2,"female",21,"dyn","pos"
95,"R_PLrgTu93LzmB4Xf",3,16,20,3,"male",20,"dyn","pos"
357,"R_z1Gq5qPw3Iu0K6R",4,5,40,3,"female",18,"dyn","neg"
14724,"R_1r2p3XwUAiV8jIL",2,15,15,3,"male",43,"stat","pos"
1885,"R_1etnNiYb1uFqoga",5,14,25,3,"female",30,"dyn","pos"
342,"R_XNzv1HivXVO2JeV",3,15,30,3,"female",19,"dyn","neg"
113,"R_3NxtoWmHkEfuUob",4,6,30,4,"male",21,"stat","neg"
588,"R_1dc2KVfG0UBhlCl",5,7,20,3,"female",48,"stat","pos"
239,"R_BQB4NENAFQZaynD",4,17,40,4,"female",44,"dyn","pos"
915,"R_2sco0SAdTZNG9BR",5,3,30,4,"male",19,"stat","neg"
915,"R_3CBf4Q0IUY85fcT",1,3,30,4,"female",20,"stat","neg"
450,"R_2Ey0523uNXHsb6c",2,14,30,4,"female",44,"dyn","neg"
65,"R_1HjxeaaJYjzU1Sf",5,19,10,2,"female",18,"stat","pos"
63,"R_QcAibBHMy1pkz2F",2,16,18,3,"male",20,"stat","pos"
